,LT_CAGR,WACC,2019_CAGR,Decay,Price,Equity,EV,Rate
262,0.021,0.0798,0.3482,-1.46,5.23,237.3724552,456.5380724,0.047724947
263,0.0201,0.0568,0.5699,-1.09,19.59,889.3866491,1108.552266,0.122633918
264,0.0226,0.0765,0.5348,-1.15,11.76,533.6925575,752.8581746,0.106695368
265,0.0212,0.0546,0.4193,-1.42,11.87,538.9923484,758.1579656,0.060145769
266,0.0174,0.0792,0.4511,-1.08,8.84,401.2472918,620.412909,0.098616756
267,0.0205,0.0625,0.5334,-1.3,13.02,590.7545636,809.9201807,0.088227859
268,0.0172,0.0653,0.4572,-1.25,9.92,450.193452,669.3590692,0.080627902
269,0.021,0.0663,0.3527,-1.2,8.41,381.8207167,600.9863339,0.066405203
270,0.023,0.0681,0.3713,-1.49,7.42,336.9741184,556.1397355,0.049070597
271,0.0192,0.0843,0.4528,-1.15,7.88,357.7467867,576.9124039,0.090534013
272,0.0206,0.0801,0.4379,-1.24,7.67,348.2590722,567.4246894,0.078234541
273,0.0181,0.068,0.3815,-1.13,8.65,392.5907936,611.7564108,0.078390518
274,0.02,0.0595,0.4114,-1.21,11.24,510.2987867,729.4644039,0.076362225
275,0.0164,0.0682,0.4027,-1.25,7.99,362.7523661,581.9179833,0.071131123
276,0.0178,0.0742,0.4352,-1.11,9.01,408.8776186,628.0432357,0.091596343
277,0.0191,0.062,0.4862,-1.01,14.99,680.5924745,899.7580917,0.116251965
278,0.0218,0.0703,0.4084,-1.36,8.09,367.2411207,586.4067379,0.063009795
279,0.0205,0.0676,0.491,-1.17,11.82,536.3814049,755.5470221,0.095621238
280,0.021,0.0709,0.4704,-1.23,10.07,456.9862454,676.1518625,0.085014516
281,0.0212,0.0737,0.4236,-1.05,9.97,452.4945452,671.6601624,0.096316401
282,0.0193,0.0774,0.4178,-0.95,9.8,444.9820761,664.1476933,0.108221647
283,0.0185,0.0655,0.402,-1.37,8.16,370.2619144,589.4275316,0.061286322
284,0.0232,0.0726,0.4752,-1.21,10.49,476.1870712,695.3526884,0.088043764
285,0.0205,0.0852,0.4506,-1.12,8.13,368.8083406,587.9739578,0.093598187
286,0.0189,0.0648,0.468,-1.16,11.55,524.2127783,743.3783955,0.092358438
287,0.0176,0.0643,0.3926,-1.68,6.78,307.927967,527.0935842,0.041562168
288,0.0192,0.0703,0.398,-1,9.97,452.7539755,671.9195927,0.096613302
289,0.0236,0.0752,0.4302,-1.18,9.2,417.3705368,636.5361539,0.082870438
290,0.02,0.0717,0.4983,-1.23,10.38,471.1631602,690.3287774,0.089985346
291,0.0214,0.0657,0.4657,-1.34,10.32,468.4011463,687.5667634,0.073491061
292,0.0238,0.0735,0.4069,-1.18,8.99,408.0784119,627.244029,0.078433805
293,0.022,0.0828,0.4701,-1.35,7.46,338.7411929,557.9068101,0.07327605
294,0.0203,0.0592,0.537,-1.23,15.01,681.5117829,900.6774,0.096868743
295,0.0193,0.0555,0.4081,-1.09,13.43,609.4363273,828.6019445,0.088179108
296,0.0195,0.0745,0.4332,-1.39,7.34,333.2143003,552.3799175,0.064398663
297,0.0212,0.0783,0.3951,-1.48,6.06,274.8887274,494.0543446,0.052796747
298,0.0185,0.0626,0.3947,-1.09,10.57,479.6940798,698.859697,0.085314086
299,0.0227,0.0717,0.4873,-1.16,11.39,516.9804728,736.14609,0.096116909
300,0.0191,0.0643,0.4012,-1.18,9.73,441.8149704,660.9805875,0.077347636
301,0.022,0.0705,0.4787,-1.38,9.41,427.0555167,646.2211338,0.071926085
302,0.0197,0.0725,0.3435,-1.27,6.58,298.6149537,517.7805709,0.059296828
303,0.0201,0.0677,0.4001,-1.34,8.18,371.4153051,590.5809223,0.063267603
304,0.0217,0.0652,0.412,-1.05,11.69,530.4836966,749.6493138,0.093706427
305,0.019,0.0767,0.3923,-1.17,7.4,335.8866703,555.0522874,0.076609499
306,0.0207,0.0746,0.4386,-1.31,8.06,366.0240494,585.1896666,0.071863507
307,0.0223,0.0591,0.4812,-1.29,13.4,608.4426165,827.6082337,0.080704316
308,0.02,0.0717,0.4256,-1.09,9.79,444.2784599,663.4440771,0.091917985
309,0.0211,0.0692,0.4708,-0.88,15,680.8416718,900.0072889,0.133632456
310,0.0214,0.0679,0.3915,-1.21,9.02,409.3514638,628.5170809,0.072710614
311,0.0191,0.0691,0.3993,-1.02,10.04,455.6462236,674.8118407,0.094440232
312,0.0186,0.0745,0.4652,-1.3,8.34,378.4611424,597.6267596,0.077102437
313,0.0233,0.0659,0.3855,-1.32,9.04,410.5201729,629.68579,0.062495993
314,0.0182,0.0629,0.3714,-1.21,8.89,403.4190784,622.5846956,0.069018348
315,0.0182,0.0854,0.4988,-0.96,10.68,484.9185713,704.0841885,0.127284897
316,0.0207,0.0631,0.4433,-0.98,13.99,634.9714936,854.1371108,0.110334633
317,0.021,0.0747,0.458,-1.17,9.55,433.4462102,652.6118274,0.089275166
318,0.0227,0.0782,0.405,-1.21,7.76,352.3104967,571.4761139,0.075188259
319,0.0208,0.072,0.3353,-1.42,6.08,275.8336313,494.9992485,0.048229727
320,0.021,0.0818,0.4792,-1.19,8.74,396.7021305,615.8677477,0.091030866
321,0.0172,0.0785,0.4022,-1.21,6.89,312.6459747,531.8115919,0.074674524
322,0.021,0.0665,0.4112,-1.16,10.11,458.6887657,677.8543829,0.081276475
323,0.0195,0.0771,0.4124,-1.16,7.92,359.4713184,578.6369356,0.081510927
324,0.0224,0.0747,0.4128,-1.21,8.44,382.9482301,602.1138473,0.076618977
325,0.0178,0.0749,0.4164,-1.37,6.84,310.5753721,529.7409893,0.063452582
326,0.0188,0.08,0.3994,-1.17,7.09,321.9236843,541.0893015,0.077980287
327,0.0245,0.0732,0.44,-1.48,8.06,365.7229569,584.8885741,0.05870915
328,0.0176,0.0829,0.4737,-1.14,8.39,380.7088118,599.874429,0.095867074
329,0.0187,0.077,0.4713,-1.16,9.16,415.9467461,635.1123633,0.093001328
330,0.0178,0.0674,0.3978,-1.53,6.91,313.7946605,532.9602776,0.05010289
331,0.0207,0.062,0.3525,-1.35,8.44,382.9773807,602.1429979,0.055149143
332,0.0214,0.0686,0.4833,-1.23,10.99,498.741035,717.9066522,0.08731374
333,0.0202,0.08,0.4693,-1.27,8.07,366.2060542,585.3716714,0.080705874
334,0.0158,0.0741,0.4492,-1.13,8.86,402.3202301,621.4858472,0.092131222
335,0.0164,0.0651,0.3387,-1.07,8.21,372.6572455,591.8228627,0.0752227
336,0.0191,0.0713,0.429,-1.22,8.72,395.8052782,614.9708954,0.078599811
337,0.0185,0.0707,0.3848,-1.31,7.25,329.2060738,548.371691,0.063153157
338,0.0171,0.085,0.408,-1,7.68,348.6825963,567.8482134,0.099016682
339,0.0237,0.0761,0.4036,-1.33,7.52,341.3922726,560.5578897,0.064598108
340,0.0202,0.066,0.4449,-1.27,10,453.7945401,672.9601572,0.076564973
341,0.0165,0.0678,0.5247,-1.19,11.51,522.5285043,741.6941215,0.099549832
342,0.0185,0.0785,0.4551,-1.17,8.45,383.4968896,602.6625068,0.088716987
343,0.0204,0.0784,0.4235,-1.71,5.61,254.6707654,473.8363826,0.043279266
344,0.0163,0.0723,0.3962,-1.3,6.96,315.7918359,534.9574531,0.065804296
345,0.0209,0.0668,0.4393,-1.45,8.7,394.7876816,613.9532988,0.060750178
346,0.016,0.0694,0.5135,-1.28,9.93,450.9176908,670.083308,0.087108846
347,0.0222,0.06,0.4589,-1.07,14.94,678.3317284,897.4973456,0.101598708
348,0.0199,0.0658,0.4202,-1.25,9.53,432.6360994,651.8017166,0.074183592
349,0.0198,0.0755,0.3837,-1.24,7.1,322.2200898,541.385707,0.068661275
350,0.0221,0.0666,0.356,-1.21,8.6,390.4922329,609.65785,0.066186722
351,0.0186,0.0528,0.4657,-1.33,13.51,613.3957813,832.5613985,0.074394781
352,0.0193,0.0758,0.4871,-1.32,8.56,388.6541029,607.8197201,0.07872127
353,0.0225,0.0702,0.375,-1.47,7.11,322.5821664,541.7477836,0.050744102
354,0.0213,0.0727,0.3624,-1.2,7.53,341.9795478,561.145165,0.068211951
355,0.021,0.065,0.4656,-1.47,9.51,431.8264395,650.9920567,0.062815617
356,0.0204,0.0829,0.398,-1.1,7.37,334.4193375,553.5849547,0.084927189
357,0.0192,0.0613,0.4896,-1.03,15.08,684.5157531,903.6813702,0.114054143
358,0.0165,0.0719,0.4472,-1.18,8.88,402.8465626,622.0121798,0.086104137
359,0.0207,0.0767,0.4521,-1.23,8.55,388.0472089,607.2128261,0.08175019
360,0.0212,0.0661,0.508,-1.35,11.09,503.3833353,722.5489524,0.079092115
361,0.0217,0.0645,0.4103,-1.28,9.81,445.2846629,664.4502801,0.069815729
362,0.0206,0.0806,0.3825,-1.24,6.53,296.3459595,515.5115767,0.068449001
363,0.0214,0.0675,0.4559,-1.15,11.29,512.2324204,731.3980376,0.091146148
364,0.0162,0.067,0.4697,-1.39,8.67,393.6743388,612.839956,0.069744238
365,0.0236,0.0781,0.4683,-1.26,8.95,406.3961497,625.5617669,0.08154025
366,0.022,0.0929,0.3674,-1.27,5.07,229.9311206,449.0967378,0.063375797
367,0.0186,0.0695,0.488,-1.18,10.74,487.5850257,706.7506429,0.093853778
368,0.0244,0.0636,0.4317,-1.1,13.11,595.0766429,814.2422601,0.09203571
369,0.0213,0.0831,0.3983,-1.08,7.61,345.4353114,564.6009285,0.087193602
370,0.0182,0.0726,0.5355,-1.17,11.39,517.172057,736.3376741,0.104162781
371,0.0193,0.0667,0.463,-1.21,10.58,480.0718904,699.2375076,0.085812961
